Environment:
	Python: 3.8.10
	PyTorch: 1.9.0+cu111
	Torchvision: 0.10.0+cu111
	CUDA: 11.1
	CUDNN: 8005
	NumPy: 1.20.2
=======hyper-parameter used========
algorithm:GCN2
dataset:cora
gpu_id:0
lr:0.01
max_epoch:400
weight_decay:0.0005
n_hidden:16
n_layers:1
dropout:0.5
net:GCN
seed:0
output:./train_output_dataset_cora_net_GCN_alg_GCN2_seed0/train_output_2022-04-26_net_GCN_epoch_400_alg_GCN2
sd_reg:0.1

  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
D:\software\Anaconda3\envs\pytorch\lib\site-packages\dgl\data\utils.py:285: UserWarning: Property dataset.num_labels will be deprecated, please use dataset.num_classes instead.
  warnings.warn('Property {} will be deprecated, please use {} instead.'.format(old, new))
===========model structure===========
OrderedDict([('layers', ModuleList(
  (0): GraphConv(in=1433, out=16, normalization=both, activation=<function relu at 0x000001EC9203AEE0>)
  (1): GraphConv(in=16, out=7, normalization=both, activation=None)
)), ('dropout', Dropout(p=0.5, inplace=False))])
===========start training===========
epoch 54 | loss:1.1317 | train_acc:0.9714 | val_acc:0.7200 | test_acc:0.7390
epoch 55 | loss:1.1363 | train_acc:0.9714 | val_acc:0.7240 | test_acc:0.7430
epoch 56 | loss:1.0934 | train_acc:0.9714 | val_acc:0.7240 | test_acc:0.7480
epoch 57 | loss:1.1207 | train_acc:0.9714 | val_acc:0.7260 | test_acc:0.7530
epoch 58 | loss:1.0852 | train_acc:0.9714 | val_acc:0.7260 | test_acc:0.7560
epoch 59 | loss:1.0885 | train_acc:0.9714 | val_acc:0.7260 | test_acc:0.7540
epoch 60 | loss:1.0432 | train_acc:0.9714 | val_acc:0.7300 | test_acc:0.7470
epoch 61 | loss:1.0417 | train_acc:0.9714 | val_acc:0.7260 | test_acc:0.7430
epoch 62 | loss:1.0420 | train_acc:0.9714 | val_acc:0.7300 | test_acc:0.7460
epoch 63 | loss:1.0108 | train_acc:0.9714 | val_acc:0.7360 | test_acc:0.7480
epoch 64 | loss:1.0376 | train_acc:0.9714 | val_acc:0.7340 | test_acc:0.7520
epoch 65 | loss:0.9834 | train_acc:0.9714 | val_acc:0.7420 | test_acc:0.7570
epoch 66 | loss:0.9545 | train_acc:0.9714 | val_acc:0.7440 | test_acc:0.7640
epoch 67 | loss:1.0104 | train_acc:0.9714 | val_acc:0.7460 | test_acc:0.7680
epoch 68 | loss:0.9780 | train_acc:0.9714 | val_acc:0.7460 | test_acc:0.7680
epoch 69 | loss:0.9271 | train_acc:0.9714 | val_acc:0.7460 | test_acc:0.7680
epoch 70 | loss:0.9026 | train_acc:0.9714 | val_acc:0.7480 | test_acc:0.7680
epoch 71 | loss:0.8894 | train_acc:0.9714 | val_acc:0.7480 | test_acc:0.7680
epoch 72 | loss:0.9239 | train_acc:0.9714 | val_acc:0.7480 | test_acc:0.7690
epoch 73 | loss:0.9415 | train_acc:0.9714 | val_acc:0.7460 | test_acc:0.7750
epoch 74 | loss:0.8804 | train_acc:0.9714 | val_acc:0.7480 | test_acc:0.7760
epoch 75 | loss:0.8680 | train_acc:0.9786 | val_acc:0.7480 | test_acc:0.7780
epoch 76 | loss:0.8724 | train_acc:0.9786 | val_acc:0.7520 | test_acc:0.7810
epoch 77 | loss:0.8601 | train_acc:0.9786 | val_acc:0.7520 | test_acc:0.7800
epoch 78 | loss:0.8619 | train_acc:0.9786 | val_acc:0.7540 | test_acc:0.7790
epoch 79 | loss:0.8467 | train_acc:0.9714 | val_acc:0.7540 | test_acc:0.7740
epoch 80 | loss:0.8685 | train_acc:0.9714 | val_acc:0.7600 | test_acc:0.7720
epoch 81 | loss:0.8572 | train_acc:0.9714 | val_acc:0.7580 | test_acc:0.7720
epoch 82 | loss:0.8098 | train_acc:0.9714 | val_acc:0.7640 | test_acc:0.7750
epoch 83 | loss:0.8373 | train_acc:0.9786 | val_acc:0.7620 | test_acc:0.7770
epoch 84 | loss:0.8132 | train_acc:0.9857 | val_acc:0.7600 | test_acc:0.7800
epoch 85 | loss:0.8449 | train_acc:0.9857 | val_acc:0.7640 | test_acc:0.7850
epoch 86 | loss:0.8160 | train_acc:0.9857 | val_acc:0.7660 | test_acc:0.7870
epoch 87 | loss:0.8254 | train_acc:0.9857 | val_acc:0.7680 | test_acc:0.7890
epoch 88 | loss:0.8058 | train_acc:0.9786 | val_acc:0.7700 | test_acc:0.7880
epoch 89 | loss:0.7551 | train_acc:0.9714 | val_acc:0.7660 | test_acc:0.7830
epoch 90 | loss:0.7514 | train_acc:0.9714 | val_acc:0.7640 | test_acc:0.7810
epoch 91 | loss:0.7519 | train_acc:0.9714 | val_acc:0.7640 | test_acc:0.7790
epoch 92 | loss:0.7314 | train_acc:0.9714 | val_acc:0.7640 | test_acc:0.7780
epoch 93 | loss:0.7872 | train_acc:0.9714 | val_acc:0.7680 | test_acc:0.7850
epoch 94 | loss:0.7874 | train_acc:0.9857 | val_acc:0.7700 | test_acc:0.7860
epoch 95 | loss:0.7690 | train_acc:0.9857 | val_acc:0.7680 | test_acc:0.7850
epoch 96 | loss:0.7265 | train_acc:0.9857 | val_acc:0.7680 | test_acc:0.7820
epoch 97 | loss:0.7536 | train_acc:0.9857 | val_acc:0.7640 | test_acc:0.7790
epoch 98 | loss:0.7534 | train_acc:0.9857 | val_acc:0.7640 | test_acc:0.7800
epoch 99 | loss:0.7159 | train_acc:0.9857 | val_acc:0.7600 | test_acc:0.7810
epoch 100 | loss:0.7611 | train_acc:0.9857 | val_acc:0.7640 | test_acc:0.7810
epoch 101 | loss:0.7491 | train_acc:0.9929 | val_acc:0.7640 | test_acc:0.7850
epoch 102 | loss:0.7568 | train_acc:0.9929 | val_acc:0.7640 | test_acc:0.7860
epoch 103 | loss:0.7194 | train_acc:0.9857 | val_acc:0.7620 | test_acc:0.7870
epoch 104 | loss:0.7150 | train_acc:0.9929 | val_acc:0.7600 | test_acc:0.7860
epoch 105 | loss:0.7279 | train_acc:0.9929 | val_acc:0.7620 | test_acc:0.7830
epoch 106 | loss:0.6695 | train_acc:0.9929 | val_acc:0.7620 | test_acc:0.7830
epoch 107 | loss:0.7116 | train_acc:0.9929 | val_acc:0.7620 | test_acc:0.7830
epoch 108 | loss:0.7147 | train_acc:0.9929 | val_acc:0.7580 | test_acc:0.7810
epoch 109 | loss:0.7024 | train_acc:0.9929 | val_acc:0.7620 | test_acc:0.7810
epoch 110 | loss:0.7011 | train_acc:0.9929 | val_acc:0.7640 | test_acc:0.7800
epoch 111 | loss:0.7124 | train_acc:0.9929 | val_acc:0.7660 | test_acc:0.7820
epoch 112 | loss:0.6421 | train_acc:0.9929 | val_acc:0.7660 | test_acc:0.7840
epoch 113 | loss:0.7142 | train_acc:0.9929 | val_acc:0.7660 | test_acc:0.7860
epoch 114 | loss:0.6638 | train_acc:0.9929 | val_acc:0.7640 | test_acc:0.7840
epoch 115 | loss:0.7101 | train_acc:0.9929 | val_acc:0.7660 | test_acc:0.7840
epoch 116 | loss:0.6745 | train_acc:0.9929 | val_acc:0.7660 | test_acc:0.7850
epoch 117 | loss:0.6424 | train_acc:0.9929 | val_acc:0.7660 | test_acc:0.7870
epoch 118 | loss:0.6625 | train_acc:0.9929 | val_acc:0.7660 | test_acc:0.7880
epoch 119 | loss:0.6844 | train_acc:0.9929 | val_acc:0.7660 | test_acc:0.7880
epoch 120 | loss:0.6816 | train_acc:0.9929 | val_acc:0.7660 | test_acc:0.7880
epoch 121 | loss:0.6199 | train_acc:0.9929 | val_acc:0.7680 | test_acc:0.7880
epoch 122 | loss:0.6701 | train_acc:0.9929 | val_acc:0.7640 | test_acc:0.7850
epoch 123 | loss:0.6982 | train_acc:0.9929 | val_acc:0.7640 | test_acc:0.7830
epoch 124 | loss:0.6378 | train_acc:0.9929 | val_acc:0.7640 | test_acc:0.7830
epoch 125 | loss:0.6771 | train_acc:0.9929 | val_acc:0.7640 | test_acc:0.7860
epoch 126 | loss:0.6536 | train_acc:0.9929 | val_acc:0.7680 | test_acc:0.7880
epoch 127 | loss:0.6527 | train_acc:0.9929 | val_acc:0.7660 | test_acc:0.7870
epoch 128 | loss:0.6495 | train_acc:1.0000 | val_acc:0.7680 | test_acc:0.7880
epoch 129 | loss:0.6339 | train_acc:1.0000 | val_acc:0.7700 | test_acc:0.7900
epoch 130 | loss:0.6542 | train_acc:0.9929 | val_acc:0.7720 | test_acc:0.7900
